autor_original	autor_normalizado
Duck (Arthur)	Duck (Arthur)
Duenda (Petri)	Duenda (Pedro)
Duhamel (etr.)	Duhamel (etr.)
Dukeri (Carol. Andreae)	Dukeri (Carol Andreae)
Dumont et Rouet (Cll.)	Dumont et Rouet (Cll.)
Duperron (Card.)	Duperron (Card.)
Duppa (Mr.)	Duppa (Mr.)
Dupui (Mons.)	Dupui (Mons.)
Duran dela Rocha (P. André)	Duran dela Rocha (P André)
Durandi (Guillermi)	Durandi (Guillermi)
Duranti (Jo. Stephani)	Duranti (Jo Esteban)
Duret (M. Jean)	Duret (M Juan)
Duto (Fr. Bernardo)	Duto (Fr Bernardo)
Duto (Francisci)	Duto (Francisco)
Duviene (André)	Duviene (André)
Duyere (Juan ala)	Duyere (Juan ala)
Dyrcoli (Apolonii)	Dyrcoli (Apolonii)
Echalar (Jo.)	Echalar (Jo.)
Echard (Lauren)	Echard (Lauren)
Echard (P. F. Jacob)	Echard (P F Jacob)
Echarri (F. Francisco)	Echarri (F Francisco)
Echeverria (D. Juan Delarquez)	Echeverria (D Juan Delarquez)
Echeverz (F. Francisco c. Mlg.)	Echeverz (F Francisco c Mlg.)
Eckii (Jo.)	Eckii (Jo.)
Edenius (Borchartius)	Edenius (Borchartius)
Efferen (Guillelmi)	Efferen (Guillelmi)
Egiluz (Martin B.)	Egiluz (Martin B.)
Egnia (D. Felix)	Egnia (D Felix)
Eguiara et Eguren (D. Jo. Josephi)	Eguiara et Eguren (D Jo Josephi)
Eiphanius (Hubertus)	Eiphanius (Hubertus)
Eisenhart (D. Jo. Fridericus)	Eisenhart (D Jo Fridericus)
Eisenschmidius (Jo. Fasp.)	Eisenschmidius (Jo Fasp.)
Eiusd. (Antiarhetica de antiquis nummis Coloniarum)	Eiusd (Antiarhetica de antiquis nummis Coloniarum)
Eiusd. (Apologiae d’Homere)	Eiusd (Apologiae d’Homere)
Eiusd. (Collectio cuadrimo Conciliorum)	Eiusd (Collectio cuadrimo Conciliorum)
Eiusd. (Eiusdem)	Eiusd (Eiusdem)
Eiusd. (Hotmanus)	Eiusd (Hotmanus)
Eiusd. (opera Epistolarum)	Eiusd (opera Epistolarum)
Eiusd. (Opera Varia)	Eiusd (Opera Varia)
Eiusd. (Saxaemis)	Eiusd (Saxaemis)
Eiusdem (Henricus Brenomamus)	Eiusdem (Henricus Brenomamus)
Elisée (R.P. Sermon)	Elisée (R.P Sermon)
Elizondo (P. Francisco Pablo)	Elizondo (P Francisco Pablo)
Elzevirii (Danielis)	Elzevirii (Danielis)
Eminii (Xboni)	Eminii (Xboni)
Emmingius (Hermanus)	Emmingius (Hermanus)
Enaury Chantier (M.M.)	Enaury Chantier (M.M.)
Encina (Juan de la)	Encina (Juan de la)
Enciso (Martin Fern. de)	Enciso (Martin Fern de)
Engel (Samuelis)	Engel (Samuelis)
Engelhardi (Heyneri)	Engelhardi (Heyneri)
Enimerio (el Abate)	Enimerio (el Abate)
Enizzo (M. Sebastiano)	Enizzo (M Sebastiano)
Ennius (Quintus)	Ennius (Quintus)
Ennodius (Cithmi Magni Felia)	Ennodius (Cithmi Magni Felia)
Enríquez (D. Henrique)	Enríquez (D Henrique)
Eponis (Boetii)	Eponis (Boetii)
Erasmus (Desiderius)	Erasmus (Desiderius)
Ercano (D.º Ferdinandus)	Ercano (º Ferdinandus)
Ercolano Vid. Antichità Exithraei (Tani Vicii)	Ercolano Vid Antichità Exithraei (Tani Vicii)
Ernesti (Gerhardi)	Ernesti (Gerhardi)
Erpenii (Thomae)	Erpenii (Tomás)
Erquera (D. Joaquin)	Erquera (D Joaquin)
Ertanibusto (Guillermo)	Ertanibusto (Guillermo)
Erth. (Antonius Trichetius)	Erth (Antonio Trichetius)
Escalante (Bernardino)	Escalante (Bernardino)
Escalante (Lic. Ant.°)	Escalante (Lic Ant.°)
Escalante Lobatón y Cabrera (Thmo.)	Escalante Lobatón y Cabrera (Thmo.)
Escalera Puevara (D. Pedro)	Escalera Puevara (D Pedro)
Escalona (P. M. F. Romualdo)	Escalona (P M F Romualdo)
Escalzo y Clig (illmo. D. José)	Escalzo y Clig (illmo D José)
Eschembach (Andreae Christiani)	Eschembach (Andreae Christiani)
Escilla (D. Alonso)	Escilla (D Alonso)
Escobar (Ant.º)	Escobar (Ant.º)
Escobar Corro (D.º)	Escobar Corro (º)
Escobar (D.º Francisco)	Escobar (º Francisco)
Escobar (Juan de)	Escobar (Juan de)
Escolano (Lic. Gaytan)	Escolano (Lic Gaytan)
Espallanas (D.D. Juan)	Espallanas (D Juan)
Espejo (D.D. Bartholomaei)	Espejo (D Bartholomaei)
Espin. (Florenzo Angelo)	Espin (Florenzo Angelo)
Espinalt y Garcia (F. Bernardo)	Espinalt y Garcia (F Bernardo)
Espinan (Alonso Martinez)	Espinan (Alonso Martinez)
Espinel (Vicente)	Espinel (Vicente)
Espinosa (D. Pablo)	Espinosa (D Pablo)
Espinosa (F. Thomas)	Espinosa (F Tomás)
Espinosa (Juan de)	Espinosa (Juan de)
Espinosa (Nicolas)	Espinosa (Nicolas)
Espinosa (Pedro de)	Espinosa (Pedro de)
Espinosa y Arbo (D. Lucio Felix)	Espinosa y Arbo (D Lucio Felix)
Esquivel (Tian)	Esquivel (Tian)
Estella (Fr. Diego)	Estella (Fr Diego)
Estepa (Cllarque)	Estepa (Cllarque)
Estevan (P. Martin)	Estevan (P Martin)
Estienne (Henrre)	Estienne (Henrre)
Estofen (Gerard)	Estofen (Gerard)
Estoro (Jo. Georgii)	Estoro (Jo Jorge)
Estrada (F. Juan)	Estrada (F Juan)
Estrada (R.P. Franciano)	Estrada (R.P Franciano)
Ethenherd (D. Franc. Ant.)	Ethenherd (D Franc Ant.)
Eucanii (Eligii)	Eucanii (Eligii)
Examen de Hirschberga (Balthasari)	Examen de Hirschberga (Balthasari)
Exea (D. Luis)	Exea (D Luis)
Exxas (P. Carlo cfr.)	Exxas (P Carlo cfr.)
Eymenici (Nicolai)	Eymenici (Nicolás)
Fabiany, Ferr (Vt. D. Fran.)	Fabiany Ferr (Vt D Fran.)
Fabiotti (Carolus Anibali)	Fabiotti (Carlos Anibali)
Fabretius (Rafael)	Fabretius (Rafael)
Fabri (D. Iosef Antonio de)	Fabri (D Iosef Antonio de)
Fabri... (Petri)	Fabri (Pedro)
Fabrici (Jo. Alberti)	Fabrici (Jo Alberti)
Fabrius (D. D. Antonius)	Fabrius (D D Antonio)
Fabrius (Tanagully)	Fabrius (Tanagully)
Fabrum (Honoratus)	Fabrum (Honoratus)
Faccini (Gabriel)	Faccini (Gabriel)
Facciolati (Jacob)	Facciolati (Jacob)
Facius (Baxtholomeus)	Facius (Baxtholomeus)
Falconi (Jacobi)	Falconi (Jacobo)
Falisci (Enatii)	Falisci (Enatii)
Fallenberg (Dan)	Fallenberg (Dan)
Fanguei (Thomae)	Fanguei (Tomás)
Faret (de Sieur)	Faret (de Sieur)
Farfan (P. Fran.)	Farfan (P Fran.)
Fargna (Francisci de)	Fargna (Francisco de)
Faria y Sousa (Man. de)	Faria y Sousa (Man de)
Farinae (Jo. Franc.)	Farinae (Jo Franc.)
Farnabii (Thomae)	Farnabii (Tomás)
Fasselet du toc (Vicur)	Fasselet du toc (Vicur)
Faye (Jo. dela)	Faye (Jo dela)
Fberlinus (Georgius)	Fberlinus (Jorge)
Febronius (Justinus)	Febronius (Justinus)
Feithii... (Eberardi)	Feithii (Eberardi)
Felde... (Jo.)	Felde (Jo.)
Felicis... (M. Minucii Octavii)	Felicis (M Minucii Octavii)
Felipe (D. Bartholome)	Felipe (D Bartholome)
Felix dela Pena (P. Narciso)	Felix dela Pena (P Narciso)
Felix y Moral (D. Bartholomé Sánchez)	Felix y Moral (D Bartholomé Sánchez)
Felmany (Gerhardus)	Felmany (Gerhardus)
Feloaga (D. Francisco Antoniide)	Feloaga (D Francisco Antoniide)
Fenoriy (Joannis)	Fenoriy (Joannis)
Ferlande (Mr.)	Ferlande (Mr.)
Ferminio (M. Antonio)	Ferminio (M Antonio)
Fernan Nuñez (Conde de)	Fernan Nuñez
Fernandez (Alphonsi)	Fernandez (Alphonsi)
Fernandez Bellera (D. Thomas)	Fernandez Bellera (D Tomás)
Fernandez (D. Antonio Clar.)	Fernandez (D Antonio Clar.)
Fernandez (D. Ramon)	Fernandez (D Ramon)
Fernandez de Castro (D. Nicolás)	Fernandez de Castro (D Nicolás)
Fernandez de Cordova (Francisci)	Fernandez de Cordova (Francisco)
Fernandez de Heredia (D. Juan Francisco)	Fernandez de Heredia (D Juan Francisco)
Fernandez de Larrinaga (D. Raymundo)	Fernandez de Larrinaga (D Raymundo)
Fernandez de Mata (D. Benonimo)	Fernandez de Mata (D Benonimo)
Fernandez de Medrano (D. Sebastian)	Fernandez de Medrano (D Sebastian)
Fernandez de Velasco (D. Bernardino)	Fernandez de Velasco (D Bernardino)
Fernandez (Diego)	Fernandez (Diego)
Fernandez (Helo)	Fernandez (Helo)
Fernandez Matienzo (D. Isidro)	Fernandez Matienzo (D Isidro)
Fernandez Moreno (F. cting.)	Fernandez Moreno (F cting.)
Fernandez Pinto (Tact)	Fernandez Pinto (Tact)
Fernandez Placentini (P. Alfonsi)	Fernandez Placentini (P Alfonsi)
Fernandez Valcarcel (D. Vicente)	Fernandez Valcarcel (D Vicente)
Fernando (el Infante D.)	Fernando (el Infante D.)
Ferraniny (Francisco)	Ferraniny (Francisco)
Ferrarii (J. Joseph Antonii)	Ferrarii (J Joseph Antonio)
Ferrarii (P. Licii)	Ferrarii (P Licii)
Ferrarius (Guido)	Ferrarius (Guido)
Ferrer Maldonado (Lorenzo)	Ferrer Maldonado (Lorenzo)
Ferrer Parraiz (D. Vicente)	Ferrer Parraiz (D Vicente)
Ferrera (D. D. Juan)	Ferrera (D D Juan)
Ferreri (Julie)	Ferreri (Julie)
Ferreyra y Sampaio (Christoval)	Ferreyra y Sampaio (Christoval)
Ferro, Mannique (D. Michael)	Ferro Mannique (D Miguel)
Ferron (Jean le)	Ferron (Juan le)
Ficini (Marsili)	Ficini (Marsili)
Figreluy (Emmundus)	Figreluy (Emmundus)
Figueiredo (Manuel)	Figueiredo (Manuel)
Figueroa (Christoval Diaz)	Figueroa (Christoval Diaz)
Figueroa (D. Franc.)	Figueroa (D Franc.)
Figueroa (D. Joseph Juanes)	Figueroa (D Joseph Juanes)
Figueroa (D. Juan Olano)	Figueroa (D Juan Olano)
Figueroa (F. Pedro)	Figueroa (F Pedro)
Filangieri (Gaetano)	Filangieri (Gaetano)
Fines trias (Joseph)	Fines trias (Joseph)
Finetray (Jo. Francisci)	Finetray (Jo Francisco)
Firmiani (Petri)	Firmiani (Pedro)
Firmianus (Sactantius)	Firmianus (Sactantius)
Firrufino (Julio Cesar)	Firrufino (Julio Cesar)
Fitio (Sottilis. Gerhard)	Fitio (Sottilis Gerhard)
Flacci (Auli Persii)	Flacci (Auli Persii)
Flacci (C. Valerii)	Flacci (C Valerii)
Flacci (Q. Horatii)	Flacci (Q Horatii)
Flacoy (M. Berry)	Flacoy (M Berry)
Flaminii (M. Antonii)	Flaminii (M Antonio)
Flechier (M. Esprit)	Flechier (M Esprit)
Fleury (M. l'Abbé)	Fleury (M l'Abbé)
Floré (C. Ann.)	Floré (C Ann.)
Florentij (Francisci)	Florentij (Francisco)
Flores (D. Joseph)	Flores (D Joseph)
Florez (D. Lazaro)	Florez (D Lazaro)
Florez de Ocaña (D. Juan)	Florez de Ocaña (D Juan)
Florez (M. F. Enrique)	Florez (M F Enrique)
Focnutii (D. Lazarus)	Focnutii (D Lazarus)
Foix (M. Paul.)	Foix (M Paul.)
Folceta (Bertuy)	Folceta (Bertuy)
Folch (P. Antonio Ramon)	Folch (P Antonio Ramon)
Folcii (Laurentii Eximialii)	Folcii (Laurentii Eximialii)
Fons (Petri)	Fons (Pedro)
Fonseca (P.F. Bartholomei)	Fonseca (F Bartholomei)
Fontaine (Juan de la)	Fontaine (Juan de la)
Fontaine (Louis)	Fontaine (Luis)
Fontanella (Girolamo)	Fontanella (Girolamo)
Fontani (Francisci)	Fontani (Francisco)
Fontanini (Tuti)	Fontanini (Tuti)
Fontdonii (Petri)	Fontdonii (Pedro)
Fontenay (Valens)	Fontenay (Valens)
Fontenelle (Cl. de)	Fontenelle (Cl de)
Forner (D. Juan Pablo)	Forner (D Juan Pablo)
Forney (Cln.)	Forney (Cln.)
Forrubia (L. Fr. Josef)	Forrubia (L Fr Josef)
Fournier (Georgii)	Fournier (Jorge)
Fourtneri (Christophori)	Fourtneri (Christophori)
Foxlei (Abrahami)	Foxlei (Abrahami)
Frachetta (Girolamo di il Principe)	Frachetta (Girolamo di il)
Frajal (El Conde de)	Frajal (El de)
Franchenau (Gerardi Erneri)	Franchenau (Gerardi Erneri)
Franchil (Jo. Andronici)	Franchil (Jo Andronici)
Francimini (Laurenti)	Francimini (Laurenti)
Franck de Franchenau (D. Georgii)	Franck de Franchenau (D Jorge)
Franco (D. Petrus)	Franco (D Pedro)
Francofurt. (D. Arnoldo)	Francofurt (D Arnoldo)
Francois (M. l'Abbé Ant.)	Francois (M l'Abbé Ant.)
Frannerus (Covia)	Frannerus (Covia)
Frantii (Jo. Joachimi)	Frantii (Jo Joachimi)
Frantii (Petri)	Frantii (Pedro)
Freherus (Marquardus)	Freherus (Marquardus)
Freimonii (Jo. Wolfgan.)	Freimonii (Jo Wolfgan.)
Frein (Jo.)	Frein (Jo.)
Freinsheimius (Jo.)	Freinsheimius (Jo.)
Freschot (D. Carimino)	Freschot (D Carimino)
Freyne (D. Ant.)	Freyne (D Ant.)
Friar Gonzalez (D. Alonso de)	Friar Gonzalez (D Alonso de)
Froidour (Mx. de)	Froidour (Mx de)
Froylan (P. citrio)	Froylan (P citrio)
Fuchsius (Leonardus)	Fuchsius (Leonardus)
Fuensalida (D. Antonio)	Fuensalida (D Antonio)
Fuentes (Alonso)	Fuentes (Alonso)
Fuentes (Franciscus)	Fuentes (Francisco)
Funeius (Jo. Nicolai)	Funeius (Jo Nicolás)
Fungeni (Jo.)	Fungeni (Jo.)
Furckmann (D. Jo. Hermanni)	Furckmann (D Jo Hermanni)
Fürstenberg (Ferdinandi)	Fürstenberg (Ferdinandi)
Fusci (D. Pauli)	Fusci (D Pablo)
Futerenius (Caesarinus)	Futerenius (Caesarinus)
Gaguinus (Robertus)	Gaguinus (Robertus)
Gainza (D. Fran. X.)	Gainza (D Fran X.)
Galcaro (Capela)	Galcaro (Capela)
Galiano (F. Fran.)	Galiano (F Fran.)
Galilaei (Galilaei)	Galilaei (Galilaei)
Gallandius (Petrus)	Gallandius (Pedro)
Gallemart (Jo. c. frima dverione)	Gallemart (Jo c frima dverione)
Gallouin (ettr.)	Gallouin (ettr.)
Galucio (Juan Pablo)	Galucio (Juan Pablo)
Galvao (Duarte)	Galvao (Duarte)
Gambacuta (Petruus)	Gambacuta (Petruus)
Gámez (D. Juan)	Gámez (D Juan)
Gancey (F. Francisco)	Gancey (F Francisco)
Gancon (Thoma)	Gancon (Thoma)
Gandara (F. Felipe de la)	Gandara (F Felipe de la)
Ganibay (Estevan C.)	Ganibay (Estevan C.)
Ganimberto (Ettmo. D. Jeronimo)	Ganimberto (Ettmo D Jeronimo)
Ganzonius (Hyeronimus)	Ganzonius (Hyeronimus)
Garcia... (Carlos)	Garcia (Carlos)
Garcia... (D. Cayetano)	Garcia (D Cayetano)
Garcia (D. Saturnino)	Garcia (D Saturnino)
Garcia de Molina (D. Andres)	Garcia de Molina (D Andres)
Garcia de Oballa (D. Arturo)	Garcia de Oballa (D Arturo)
Garcia... (Fortunii)	Garcia (Fortunii)
Garcia... (Jo.)	Garcia (Jo.)
Garcia Malo (D. Ignacio)	Garcia Malo (D Ignacio)
Garcia... (P.F. Fran.)	Garcia (F Fran.)
Garcia... (P.F. Gregorio)	Garcia (F Gregorio)
Garcia... (Vincentii Polanii)	Garcia (Vincentii Polanii)
Garena (El Sr. D. Bela)	Garena (El Sr D Bela)
Garma (D. Fran. Xabier)	Garma (D Fran Xabier)
Garma (D. Josef)	Garma (D Josef)
Garno (D. Diego Juan)	Garno (D Diego Juan)
Garola (D. Josep Euturiasmo Medico)	Garola (D Josep Euturiasmo Medico)
Garrido (El P. Mtro.)	Garrido (El P Mtro.)
Garsault (Mr.)	Garsault (Mr.)
Gasco y Espinosa (P. Gabriel de)	Gasco y Espinosa (P Gabriel de)
Gaudenius (Paganus)	Gaudenius (Paganus)
Gautruche (P. Pedro)	Gautruche (P Pedro)
Gavini (F. Josephi)	Gavini (F Josephi)
Gazae (Theodori)	Gazae (Theodori)
Gazzo (Signo Stefano)	Gazzo (Signo Stefano)
Gebavenii (Georgii Christiani)	Gebavenii (Jorge Christiani)
Gee (Mr. Joshua)	Gee (Mr Joshua)
Geijl (D. Andreae)	Geijl (D Andreae)
Gelii (Auli)	Gelii (Auli)
Gellent. (Mr.)	Gellent (Mr.)
Gendil. (R.P.)	Gendil (R.P.)
Gendre. (Mr. Louis)	Gendre (Mr Luis)
Genebraldi (Silvestri)	Genebraldi (Silvestri)
Genoa (D. Nicolai & Parentibus)	Genoa (D Nicolás & Parentibus)
Gentilis (Madama de)	Gentilis (Madama de)
Gentilis. (Virgilio)	Gentilis (Virgilio)
Gentiliv (Albericus)	Gentiliv (Albericus)
Georgii ... (F. Augustini Antonii)	Jorge (F Agustín Antonio)
Georgii ... (Jo. Tridenici)	Jorge (Jo Tridenici)
Geraldini ... (Antonii)	Geraldini (Antonio)
Geraldus ... (Joanis)	Geraldus (Joanis)
Gerardi ... (Perni)	Gerardi (Perni)
Gerardo ... (N.)	Gerardo (N.)
Germeño (C.)	Germeño (C.)
Gernandensis (Episcopi)	Gernandensis (Episcopi)
Gerronii (Anastasii)	Gerronii (Anastasii)
Gerronis (T.)	Gerronis (T.)
Gervoldius (Christophorus)	Gervoldius (Christophorus)
Giammaria (il conte)	Giammaria (il conte)
Gibert (Jo. Petri)	Gibert (Jo Pedro)
Giciano (Martin)	Giciano (Martin)
Gil (D. Fran.)	Gil (D Fran.)
Gil de Piña (D. Genorimo)	Gil de Piña (D Genorimo)
Gil Polo (Gayar)	Gil Polo (Gayar)
Gilabert (D. Fran.)	Gilabert (D Fran.)
Gilibius (Petrius)	Gilibius (Petrius)
Gilleyi (Jo.)	Gilleyi (Jo.)
Ginon (P. Franciscus)	Ginon (P Francisco)
Giovani (P. Juan)	Giovani (P Juan)
Girard (Bernard de)	Girard (Bernard de)
Giraud (J.B.)	Giraud (J.B.)
Giron (P.F. Juan)	Giron (F Juan)
Gironda (D. Garcia)	Gironda (D Garcia)
Gisbenti (P. F.)	Gisbenti (P F.)
Gitaldo (P. Josef Ant.)	Gitaldo (P Josef Ant.)
Gitthio (Andrea Giuseppe)	Gitthio (Andrea Giuseppe)
Glancani (Henrici)	Glancani (Henrici)
Glaserii (Philippi)	Glaserii (Felipe)
Gleichi (Jo. Andreae)	Gleichi (Jo Andreae)
Gnevi (Jo. Georgii)	Gnevi (Jo Jorge)
Godofredus (Petrius)	Godofredus (Petrius)
Goerii... (Willermi)	Goerii (Willermi)
Goes. (Damianus)	Goes (Damianus)
Goezius... (Mr. Zachariae)	Goezius (Mr Zachariae)
Goienche (D. Francisco)	Goienche (D Francisco)
Goltzii... (Huberti)	Goltzii (Huberti)
Gómez (Alvani)	Gómez (Alvani)
Gomez Arias (D. Ferdinandus)	Gomez Arias (D Ferdinandus)
Gomez Bravo (D. Juan)	Gomez Bravo (D Juan)
Gomez de Fexan (DD. Juan)	Gomez de Fexan (DD Juan)
Gomez dela Cruz (F. Joseph)	Gomez dela Cruz (F Joseph)
Gomez... Miede (Bernardini)	Gomez Miede (Bernardini)
Gonchei (Ricardi)	Gonchei (Ricardi)
González (Alonso)	González (Alonso)
Gonzalez, B. (S. Thomas)	Gonzalez B (S Tomás)
Gonzalez Castillo (Mtro. D. Pedro)	Gonzalez Castillo (Mtro D Pedro)
Gonzalez Cavallero (D. José)	Gonzalez Cavallero (D José)
González Cid Suárez (D. To. Francisci)	González Cid Suárez (D To Francisco)
González (D. Ant.)	González (D Ant.)
Gonzalez (D. Juan Francisco)	Gonzalez (D Juan Francisco)
Gonzalez (D. Santo Diez)	Gonzalez (D Diez)
Gonzalez Davila (Silvio)	Gonzalez Davila (Silvio)
Gonzalez de la Torre (Juan)	Gonzalez de la Torre (Juan)
Gonzalez de Texada (D. José)	Gonzalez de Texada (D José)
González de Valdés (Don Juan Antonio)	González de Valdés (Juan Antonio)
Gonzalez et Vinty (M. Emmanuel)	Gonzalez et Vinty (M Emmanuel)
Gonzalez (L. thirii)	Gonzalez (L thirii)
González Pisador (D. Agustín)	González Pisador (D Agustín)
González Teller (D. Emmanuelis)	González Teller (D Emmanuelis)
Gorcani (Antonii)	Gorcani (Antonio)
Gordonii (Bernardi)	Gordonii (Bernardo)
Gothofredi (Dionisii)	Gothofredi (Dionisii)
Gothofredi (Jacobi)	Gothofredi (Jacobo)
Gottlieb (Christianus)	Gottlieb (Christianus)
Gouchat (Mr. L'Abbe)	Gouchat (Mr L'Abbe)
Grabadus (Mathaeus)	Grabadus (Mathaeus)
Gracian (Diego)	Gracian (Diego)
Gracian (Lorenzo)	Gracian (Lorenzo)
Gracian (To.)	Gracian (To.)
Graevii (Jo. Georgii)	Graevii (Jo Jorge)
Gramondi (Gabrielis)	Gramondi (Gabrielis)
Granada (Fr. Luis)	Granada (Fr Luis)
Granbaca (Francisci)	Granbaca (Francisco)
Grand (Ant. le)	Grand (Ant le)
Grandmaison (Cl. Vénard de)	Grandmaison (Cl Vénard de)
Grassvinckeli (Theodori)	Grassvinckeli (Theodori)
Gratiani (Jacobi)	Gratiani (Jacobo)
Graveand (G.T.)	Graveand (G.T.)
Graveton (Ignatii Hiacinti)	Graveton (Ignatii Hiacinti)
Gravinæ (Vincentii)	Gravinæ (Vincentii)
Gregorae (Nicephori)	Gregorae (Nicephori)
Greneck (Adami Josephi)	Greneck (Adami Josephi)
Grenville (Cux)	Grenville (Cux)
Grepius (Stanislau)	Grepius (Stanislau)
Greven (Bernardi)	Greven (Bernardo)
Gribneri (Ericaeli Henrici)	Gribneri (Ericaeli Henrici)
Grifel (el P.)	Grifel (el P.)
Grison (Federico)	Grison (Federico)
Gronovii (Jacobi)	Gronovii (Jacobo)
Gronovii (Jo. Friderici)	Gronovii (Jo Friderici)
Grotii (Hugonis)	Grotii (Hugonis)
Gruchius (Nicolaus)	Gruchius (Nicolás)
Grueri.. (Jo.)	Grueri (Jo.)
Grylli (Jo.)	Grylli (Jo.)
Gryphii (Christiani)	Gryphii (Christiani)
Guadalaxara (F. Maneg.)	Guadalaxara (F Maneg.)
Guagnino (Alessandro)	Guagnino (Alessandro)
Gualtheri (Georgi)	Gualtheri (Georgi)
Guardiola (F. Juan)	Guardiola (F Juan)
Guardiola y Saer (D. Lorenzo)	Guardiola y Saer (D Lorenzo)
Guarnas (Andreae)	Guarnas (Andreae)
Gudiel (D. Gerónimo)	Gudiel (D Gerónimo)
Guemer de la Mora (D. Bernardino)	Guemer de la Mora (D Bernardino)
Guerrerius (Alfonso)	Guerrerius (Alfonso)
Guerrero (Hmo. P. Pedro)	Guerrero (Hmo P Pedro)
Guerrero (Nicolás Antonio)	Guerrero (Nicolás Antonio)
Guevara (D. Antonio)	Guevara (D Antonio)
Guevara (D.° Jeronimo)	Guevara (D.° Jeronimo)
Guevara (H. D. Ant.º)	Guevara (H D Ant.º)
Guevara (Juan Beltran)	Guevara (Juan Beltran)
Guevara (P. Didaci)	Guevara (P Didaci)
Guevara (Petrius Deleyus)	Guevara (Petrius Deleyus)
Guexxa (Francisco)	Guexxa (Francisco)
Guexxa y Villegas (D. José Alfonso &)	Guexxa y Villegas (D José Alfonso &)
Guibert.. (Conde de)	Guibert
Guicciardino (D.° Francisco)	Guicciardino (D.° Francisco)
Guidici (Cesare)	Guidici (Cesare)
Guilieni (To.)	Guilieni (To.)
Guillant (Mr.)	Guillant (Mr.)
Guimerius (Amadeus)	Guimerius (Amadeus)
Guineti (Francisci)	Guineti (Francisco)
Gumilla (P. José)	Gumilla (P José)
Gundlingii (Nicolai Hieronimi)	Gundlingii (Nicolás Hieronimi)
Gurrea (Diego)	Gurrea (Diego)
Gurreme (D. Thomae Andreae)	Gurreme (D Tomás Andreae)
Guterius (Jacoby)	Guterius (Jacoby)
Gutiérrez (Albano)	Gutiérrez (Albano)
Gutiérrez Bravo (D. Patricio)	Gutiérrez Bravo (D Patricio)
Gutiérrez (D. Diego)	Gutiérrez (D Diego)
Gutiérrez (D. Jo.)	Gutiérrez (D Jo.)
Gutiérrez de Rubalcaba (D. José)	Gutiérrez de Rubalcaba (D José)
Gutiérrez del Río (d. Gaspar)	Gutiérrez del Río (d Gaspar)
Gutierrez (V.)	Gutierrez (V.)
Guyeti (Francisci)	Guyeti (Francisco)
Guzmán (D. Alphonso)	Guzmán (D Alphonso)
Guzmán (D. Heieronimi)	Guzmán (D Heieronimi)
Guzmán (El P. Pedro)	Guzmán (El P Pedro)
Guzmán (Fernan Perez de Guzmán)	Guzmán (Fernan Perez de Guzmán)
Guzmán (Florento)	Guzmán (Florento)
Guzmán (Franc.)	Guzmán (Franc.)
Guzmán (Juan de)	Guzmán (Juan de)
Gyllenborg (Gustavo Adolfo)	Gyllenborg (Gustavo Adolfo)
Gyraldi (Lilii Gregorii)	Gyraldi (Lilii Gregorio)
Haedo (Davidis)	Haedo (Davidis)
Haedui (Jo. Zuintini)	Haedui (Jo Zuintini)
Haenovte (Arnoldy ab.)	Haenovte (Arnoldy ab.)
Hagemeier (Toachimy)	Hagemeier (Toachimy)
Haier (P. Hubert.)	Haier (P Hubert.)
Halicarnnaei (J. Pumirii)	Halicarnnaei (J Pumirii)
Haller (P. Juan)	Haller (P Juan)
Hammerius (Jo. Baptista)	Hammerius (Jo Baptista)
Hanaco (Jacobus)	Hanaco (Jacobo)
Hankius (Mantinius)	Hankius (Mantinius)
Harduinus (Jo.)	Harduinus (Jo.)
Harmenii (Haitonii)	Harmenii (Haitonii)
Haro (F. Damian)	Haro (F Damian)
Hausotteri (Christian)	Hausotteri (Christian)
Haym... (Nicolai Francisci)	Haym (Nicolás Francisco)
Hebrea (F. Jusef Ant.)	Hebrea (F Jusef Ant.)
Hedinguer (To.)	Hedinguer (To.)
Hedouville (Chr.)	Hedouville (Chr.)
Hegeniti... (Gothus)	Hegeniti (Gothus)
Heineccii (Jo. Gottl.)	Heineccii (Jo Gottl.)
Heineccius (Joh. Michael)	Heineccius (Joh Miguel)
Heinsius (Daniel)	Heinsius (Daniel)
Heleni (Politani)	Heleni (Politani)
Helfrichius (Sigismundus)	Helfrichius (Sigismundus)
Hellot (M.)	Hellot (M.)
Helt Frisio (Hugon)	Helt Frisio (Hugon)
Helvici (D. Christophori)	Helvici (D Christophori)
Hemelarii (Jo.)	Hemelarii (Jo.)
Hemeraeus (Claudius)	Hemeraeus (Claudius)
Heminger (Henrici)	Heminger (Henrici)
Hemsterdamii (Alardy)	Hemsterdamii (Alardy)
Henao et Colon (D. Bartholomaei)	Henao et Colon (D Bartholomaei)
Henao (P. Gabriel)	Henao (P Gabriel)
Henelius (Nicolaus)	Henelius (Nicolás)
Henestrosa (D. Jo. Ferdinandus)	Henestrosa (D Jo Ferdinandus)
Henninger (Chr. Hyeronimi)	Henninger (Chr Hyeronimi)
Hennnit (Otonis)	Hennnit (Otonis)
Henrici (Jo)	Henrici (Jo)
Henrii (Jo. Nicolai)	Henrii (Jo Nicolás)
Henriques (D. Fadrique Almirante de Castilla)	Henriques (D Fadrique Almirante de Castilla)
Henriques, D. Gabriel (D. Dio. Affonso)	Henriques D Gabriel (D Dio Affonso)
Henriques Ferreyra (Josef)	Henriques Ferreyra (Josef)
Hera (Balentin)	Hera (Balentin)
